point_id,customer_id,points_earned,points_redeemed,transaction_date,channel
35e3eb54-bcda-416d-97da-f4138b3219b8,a7513edd-2a63-47d2-bcaf-9651ca6a6a2d,449,0,2020-12-13,Offline
24e7653b-0643-4f3e-8988-f77805ada30d,6c6143c7-e702-4108-9094-141257675ba8,180,0,2024-01-12,Online
4c7e2553-fd39-48a8-bfb8-5657d34dc5ea,589073f6-69f6-493f-bab9-7a66ca872afc,233,45,2023-10-10,Online
8edd2c2a-215c-4f96-b792-d28c4dda8b88,4cf0751c-e41f-493b-9238-bbb6e2e36eba,39,0,2024-01-16,Offline
be1b4151-4d91-4b68-b99b-1e2a599f9e1a,c304d182-c3ad-4d02-9dd2-41a1b8687584,349,130,2021-11-12,Offline
0b135c5a-2c5e-4ad6-8997-85d140ca67a3,631c50ed-50e5-47a6-ab2a-183ae4736823,497,0,2021-11-22,Online
9ec556ee-4013-447e-af10-8a6a1a9e86e7,01ab7194-7e3d-4e8e-8b53-b5bfbe752f03,323,16,2021-10-09,Offline
424fe5d4-ac5d-4bf6-8d6a-e80d6c8986b2,e772a4ad-1782-4ab8-a260-8702985f09b3,407,0,2022-09-16,Offline
1a7fd761-81dc-4904-8c83-05cb11115df9,f7e858b9-73b2-448f-a338-bfb784c3d7ac,126,0,2022-02-25,Offline
39823672-8906-4df4-9e46-cd36f243948b,e7b958b6-1ef7-4b76-879a-20de4b716828,85,0,2021-03-15,Offline
7156608b-9f2a-4959-9659-19f4e75310dd,0ec84e97-87a7-4dca-975f-25e84b762217,214,190,2021-12-08,Online
b29e135d-53ee-4de2-bf9b-3e3e5f424eaf,8fb0ff1b-277e-455c-a70b-45011a3c7d32,74,0,2023-01-26,Online
65f2fd01-7c2e-40c5-b6fe-3a58558f7ad3,9b64a956-51fa-479b-8797-d9d039229c22,41,0,2021-09-24,Offline
204a8ca3-9b27-41ca-9f7d-d2d00e457c6b,76bcc6d6-0a7d-4ca1-9fcc-43e71476df2f,317,0,2022-10-28,Offline
d7dc19e0-bd2c-4caa-a7b3-81dd01d54acf,552e0fb1-9147-44ed-9c80-6bb928035a18,232,0,2021-10-08,Online
f3dc5005-3360-4069-bf8a-13647e33378c,00f906de-f6ff-4a15-a18f-1d52ce949bd2,86,68,2021-09-14,Offline
6fb354d9-73f1-4928-8c33-436cdd64d4be,29083d3a-4b75-405d-9b3a-99177217720e,91,0,2023-12-26,Online
4c4c4232-b553-4767-a344-4bed96023f23,85c7da8b-adab-42f0-80e3-965d127016fc,468,0,2021-05-18,Online
4336866a-9fb5-49f8-910b-f282fa3b8c5a,66170139-d736-419f-8e69-0f0fbc3ae403,105,0,2022-01-03,Online
a07919cd-d502-49de-9c08-a5fedf484e41,2ab55ba8-ba21-43e8-8cb3-963199b40a64,129,58,2022-02-12,Online
3190bdf1-5b07-465d-a5cf-8eeb01bc716a,a10a387f-97d8-47f8-b7ba-cb2fcdb58d7b,13,8,2022-10-30,Online
592ad858-f385-4756-a109-412b7563ec5a,03767e36-b0bb-4052-98fb-0ef7c7081f82,138,0,2022-02-21,Offline
5771f327-c472-45df-9a29-0dd60d339b14,033df29a-e50a-4a4f-ad04-f734276f3d52,15,0,2021-09-28,Online
5a65d454-c2f0-482d-96ef-52b5930acbd9,0bbdaccc-8184-4a47-bd70-61e3ffc45fb6,464,0,2023-05-21,Online
ce0f63a7-08c4-4906-a2ad-c13ff5051515,3cd6991b-b4e9-468b-af4b-bcb1571e96fe,333,0,2024-01-07,Offline
32a0d835-316c-4d63-82ec-9a649cfccec3,c813b54f-4835-4624-bf86-56f99d8f8dbc,197,0,2022-03-28,Offline
da2eaf66-5040-45e4-aac4-080dbc4b55fc,64b39aa0-cef2-4c82-9486-e982235c2b3f,340,0,2020-10-16,Offline
30d5377f-30c8-409f-84e4-13e101facf0c,b472a641-f9d5-4373-905e-c2df985e729b,122,0,2021-07-12,Offline
50df16f9-2c80-483c-a355-c0b43f96bf72,f1bee92b-49c8-4115-8841-b8ed5d1ec48b,395,0,2020-10-27,Offline
c24da1f7-b718-4985-a2a4-05019bfa709a,d172b004-120d-44d1-a8f0-09902b384987,302,0,2023-07-19,Offline
244a24ad-b46a-458a-9cf7-8be1966759b8,a095843a-794f-4861-b383-51a6328be58e,161,94,2020-05-18,Offline
180d76d5-a5d1-40b3-bc7b-ee60699806ae,aa84b6ec-2fb1-4e0a-a622-fa164988f96c,382,0,2022-11-25,Offline
6528fc35-cea0-4c9d-a9db-b2408ece6ee8,8dde053b-93b2-43dc-890a-20a72cc3f36e,260,113,2020-12-11,Online
1bc25adc-fef1-4e1a-83b7-217af2e873f3,def3319c-1552-4570-b371-17aae20e8356,232,0,2021-12-22,Online
f7ce2ef3-2fdc-4543-99dd-27cfb0f54e96,480dda00-ed01-45c2-b483-3b7e7d9151f9,375,74,2020-12-16,Offline
c6adef19-9c3d-4634-8c85-e2e48a4c4254,da55cacb-6e5a-4a14-9ae6-08aa272c5bef,277,271,2023-04-28,Online
0815595f-41ca-4957-9862-d0b94cf68903,126d88a5-42b5-41e3-a85f-dbe555e1a2c8,144,0,2020-06-03,Online
912bec1b-1f58-454f-a8a9-345538b6e048,7b253524-222e-48c8-b41f-77c1eeb4b1d8,123,77,2021-01-09,Offline
bb67b214-ffcd-43ea-bc71-501da7e84b7a,ef464ae2-7d23-460f-96cf-44a48cf9bb58,477,0,2023-10-09,Online
7757c331-4302-4999-9c6a-d163ab2ce9cd,f6daa1bb-3ac3-4e4e-b5ca-b677693d78cd,51,44,2022-10-08,Online
717e60b6-796f-42da-b5ca-1cc19b9c3db6,32b66d7d-47c7-4e51-9afe-969f7393f94e,94,12,2024-03-12,Offline
bab7b1d7-2425-4f00-bf6b-cce639b8f3e5,4782b8db-24f8-4c7f-b184-43d725058fa5,186,0,2023-11-04,Online
81e6e0e2-c464-46c1-b5df-db801f0144f8,8c357757-cab3-454e-b0c3-d291d823a6d0,75,0,2022-02-19,Offline
c86ecc8d-be1d-4c74-9677-fd54200ed070,49df561a-bf34-491c-9985-9a8c0c29eb87,232,224,2022-08-07,Online
183db5c2-e5ee-4d96-992e-069a2d34af79,60bcc5ca-b916-4649-8518-8981ffd41d96,216,165,2021-10-12,Offline
8592eddc-b941-4412-a2eb-7d0f4e13134d,42b3f99b-9d31-44d9-9998-61072a469979,263,213,2022-05-14,Offline
70fd0c33-89ff-49c3-918a-685b208c6920,5bf38aba-aeab-423b-b248-112784a9d146,434,290,2023-04-15,Online
ef505de8-c7c8-49cd-ba20-c3cfacb9206a,6787511f-aa97-4bc3-ab4e-09716d92e19f,296,0,2022-04-08,Online
9f065643-5e71-4ace-8b69-5e1b87b6ade3,a978d9b0-c346-4a4a-a4d8-c5a04e123a0f,128,0,2023-05-18,Online
5a01ea11-a0fc-4f7b-b538-44fb318e0359,bfc4fde9-8e0f-4693-a8e4-9cb877625cfc,448,240,2021-12-10,Online
c67db1d5-3484-4798-8068-0bd23c672402,75afdef7-c0c9-45fe-b807-67523f78444c,62,20,2020-07-22,Offline
08393794-a792-4eb4-b134-c1be0fa7c671,bcd61313-c6e9-4526-a87b-81ff06ff9170,133,113,2021-12-17,Offline
9a652f60-6d86-4b36-bf68-c06f2f305c4b,7b253524-222e-48c8-b41f-77c1eeb4b1d8,126,76,2024-04-20,Offline
20e04b29-42bd-4053-9a46-30d53b9b25f3,d54dd7f5-37a6-4594-84c9-41f96b118e99,479,305,2022-09-03,Online
e23af062-de89-4369-8f6d-f11f20dc3848,b48c3a7c-0cc1-40af-8182-1e9102bf749b,294,288,2020-07-07,Offline
b35b752a-65ec-4d39-939e-797ae2b28bed,722955b4-9f05-4703-9a90-8bbbde72af9d,222,92,2021-03-05,Offline
5ca5518d-c1e9-4d87-a1a4-b2b557116a42,82619011-dd0b-454a-af83-6c4c40741577,111,9,2022-04-07,Offline
f330927f-0eb4-467d-bc59-11f56288f767,d8cc0371-386c-41b4-939a-bf945acb4b0d,121,0,2024-04-02,Online
60e96bfa-8def-4d26-a4fa-ae3c9b2a5bb4,7765e9dd-2396-4515-96f7-9236e65e32c7,18,4,2023-06-09,Online
79bca204-9d37-4675-b536-443e83848dd0,e78cb679-31be-46e3-9a69-fa1e4dbda8c4,204,171,2023-06-29,Online
7f7dc27d-a2f1-4415-acc7-b3f2d408cb15,fe7c1d44-f8c4-49e2-b208-a7dd515f4bff,189,188,2020-09-10,Offline
137a6d6d-2818-42f3-bf16-1b5815374f01,c304d182-c3ad-4d02-9dd2-41a1b8687584,114,0,2023-02-12,Online
c7eece3d-c774-4d93-80b8-d6e8c350407d,64b39aa0-cef2-4c82-9486-e982235c2b3f,155,129,2021-01-09,Online
0047bac5-ac12-40e6-a09a-a5abfda2b973,a3eb6ba6-b1ea-420c-8d60-485a4d068137,316,33,2022-12-24,Offline
e3064d0b-b0a0-4627-ad26-fd6a07b283bd,acf1c47e-7fc3-4d9a-87a8-c53bcec85ea0,12,0,2022-09-15,Online
c3ba55da-e750-4144-89d9-6b9eff93088f,7dead344-5543-45c0-8b4e-3662fbc4d05b,27,0,2021-05-06,Offline
79e0684e-7225-4cd0-800a-92c379353389,c3b463e8-783e-4e46-ae90-f26f38294c28,212,0,2021-10-28,Offline
2dcdffc8-85e7-45f9-a5e9-aee0623eac6f,26f8de7f-bc50-4ebc-99ef-faba6e94567a,116,0,2023-11-08,Offline
9fe5c825-7ddc-4188-9c61-0e9cbb222142,5cc43aa4-7c4c-4dbb-815a-1444e92f0bbb,165,0,2020-05-31,Offline
67887da7-f6ef-4cd5-ba01-3a0179245f5f,93b0a421-fd5f-4bc0-869f-aa189dff41e4,273,182,2022-02-01,Offline
c09bf419-6c22-48b1-b31f-f5632e63c0e1,2a11a2cd-5232-4611-bdcc-a8fd63b40d5c,56,30,2023-04-22,Online
830fa20a-86c5-41e8-a6e6-3650d949e56f,574d2161-1d2d-41b7-8388-a81391b6a75c,412,0,2022-11-12,Online
c15612ec-0269-4c7d-8d3a-39c6676148e0,9dc629d7-1471-4fc7-9586-ed99337e0a3b,263,49,2023-05-14,Offline
ef50cc67-d2a7-455f-8318-f899ca38f2ab,40ca0cfb-c0ae-4940-8f29-4e0074cf66aa,336,0,2022-06-02,Offline
1790f177-8fcd-46e6-98e1-f4b295e079cb,bec6486b-1609-4cf8-ac53-244896c7ad6f,189,0,2021-03-13,Offline
cef6d827-f358-450c-9ebf-67a784140347,cc93fb48-50e2-4725-b8d0-c6d5ca7fa205,224,111,2022-07-21,Offline
5829d9da-0e8a-42c2-951c-3bd0b12726bc,7b9c25de-1abc-438c-8f25-020f46221b7c,415,0,2022-12-02,Offline
94dd624d-249d-4ce0-b7d8-21414e30d977,1e118bba-abb6-4380-b10e-01ad0b65bc47,403,0,2021-01-15,Offline
fe2aace9-d98d-48b3-a57c-d07104716bed,dee9ac74-2eef-4c0b-bff7-dda9b2bb7aff,76,0,2022-03-25,Offline
a64ae7cb-8841-444e-84f3-9d08cb2f6641,e4f3230d-6824-4ade-ae20-d61ebca16716,209,111,2022-06-28,Online
ba6f049e-6819-44b0-bddd-08479b9b1ce4,ecb93cc3-1f72-4f11-906a-fe06f0440f35,293,97,2022-05-27,Offline
a78aecb4-b5df-43ff-bc88-200b26494a93,d2935598-e460-4d37-b9aa-50acea55919e,388,230,2022-09-18,Online
6c054220-5276-42db-988c-b56e4cc7270e,e62b1556-f882-44cf-bb11-c44cc9154b59,237,0,2020-06-17,Offline
df38f373-bdee-424d-8519-d3fd51b0396e,6c05cbad-ca4a-4f81-b288-d0a4faf1c869,191,11,2021-12-20,Offline
f11dfe38-c82b-4365-85dd-06effa39a818,8c357757-cab3-454e-b0c3-d291d823a6d0,326,0,2020-12-08,Online
5508af0e-0793-42d9-b206-9a79578b33e7,d8cc0371-386c-41b4-939a-bf945acb4b0d,392,0,2021-08-22,Online
ecb3a0f0-0381-490f-9eda-f6d61ce6c03f,2ce20ef6-5660-422c-b8f2-d947c3c42f6e,33,32,2020-05-13,Offline
6ef46375-855d-4990-97df-6a87400de314,28e5e36d-9cf9-4d1a-85e8-9e3abd20c4c0,420,0,2022-05-22,Online
37e5b2b8-fad6-492d-aed5-3ce9b0891e46,ec42e808-3b22-45db-9f7c-cfa76b480451,162,59,2023-12-04,Offline
5704dc64-e2a5-4439-a8f2-e9696a1e3597,1ec195ce-6c5f-4462-9cc2-f9dbb9162a17,314,0,2022-09-29,Online
a2586e70-4711-468a-aec9-4df48351f75d,4817e205-19bd-49f3-8c2e-a4546c5e1844,429,52,2020-06-22,Online
11d23392-6b85-4957-97c5-a6c0a0de2cd3,a8a73425-6d5b-4532-8964-a0513b757c52,431,120,2022-08-22,Online
096ee883-9e29-4b24-9cb5-448b0abc9ebe,cd7601b3-85c7-4ebd-ab3d-610c18b1fbac,276,0,2022-05-19,Offline
c1c1af5f-d710-4242-8b19-4adbdb2536b7,57aca210-885e-4542-8b46-4ff689bac8ed,224,159,2020-06-02,Offline
756802cd-3eb0-469f-a51c-9fb485ee01e8,819540f4-4bf1-4f42-92b4-bd1b28f5a448,10,0,2020-08-01,Offline
